Title,imdbRating,Poster_Link,Overview,Certificate,Runtime (min),Genre,Actors,Director,Year,tmdbRating,rottenRating
Indiana Jones and the Last Crusade,8.2,,,,,,,,,,
Oppenheimer,8.3,https://image.tmdb.org/t/p/w500/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,R,181.0,"Drama, History","Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr., Florence Pugh",Christopher Nolan,2023.0,8.061,93.0
Metropolis,8.3,https://image.tmdb.org/t/p/w500/vZIJxGnjcswPCAa52jhbl01FQkV.jpg,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",NR,153.0,"Drama, Science Fiction","Gustav Fröhlich, Brigitte Helm, Alfred Abel, Rudolf Klein-Rogge, Theodor Loos",Fritz Lang,1927.0,8.108,97.0
Snatch,8.2,,,,,,,,,,
1917,8.2,https://image.tmdb.org/t/p/w500/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",R,119.0,"War, History, Thriller, Drama","George MacKay, Dean-Charles Chapman, Mark Strong, Andrew Scott, Richard Madden",Sam Mendes,2019.0,7.988,
L.A. Confidential,8.2,,,,,,,,,,99.0
Bicycle Thieves,8.2,https://image.tmdb.org/t/p/w500/abmxGiCV04NQj4jngbSQTGLgiC1.jpg,"Unemployed Antonio is elated when he finally finds work hanging posters around war-torn Rome. However on his first day, his bicycle—essential to his work—gets stolen. His job is doomed unless he can find the thief. With the help of his son, Antonio combs the city, becoming desperate for justice.",NR,89.0,Drama,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Gino Saltamerenda, Vittorio Antonucci",Vittorio De Sica,1948.0,8.182,99.0
Downfall,8.2,https://image.tmdb.org/t/p/w500/cP1ElGjBhbZAAqmueXjHDKlSwiP.jpg,"In April of 1945, Germany stands at the brink of defeat with the Russian Army closing in from the east and the Allied Expeditionary Force attacking from the west. In Berlin, capital of the Third Reich, Adolf Hitler proclaims that Germany will still achieve victory and orders his generals and advisers to fight to the last man. When the end finally does come, and Hitler lies dead by his own hand, what is left of his military must find a way to end the killing that is the Battle of Berlin, and lay down their arms in surrender.",R,155.0,"Drama, History, War","Bruno Ganz, Alexandra Maria Lara, Corinna Harfouch, Ulrich Matthes, Juliane Köhler",Oliver Hirschbiegel,2004.0,7.858,
Dangal,8.3,https://image.tmdb.org/t/p/w500/lHd3W8E5aKoki9pDP7tN7yEh3c0.jpg,"Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers.",PG,161.0,"Drama, Family, Comedy","Aamir Khan, Fatima Sana Shaikh, Sanya Malhotra, Zaira Wasim, Suhani Bhatnagar",Nitesh Tiwari,2016.0,7.89,
The Wolf of Wall Street,8.2,https://image.tmdb.org/t/p/w500/kW9LmvYHAaS9iA0tHmZVq8hQYoq.jpg,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",R,180.0,"Crime, Drama, Comedy","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler",Martin Scorsese,2013.0,8.029,
Hamilton,8.3,https://image.tmdb.org/t/p/w500/h1B7tW0t399VDjAcWJh8m87469b.jpg,"Presenting the tale of American founding father Alexander Hamilton, this filmed version of the original Broadway smash hit is the story of America then, told by America now.",PG-13,160.0,"History, Drama","Lin-Manuel Miranda, Leslie Odom Jr., Renée Elise Goldsberry, Phillipa Soo, Daveed Diggs",Thomas Kail,2020.0,8.2,
Taxi Driver,8.2,https://image.tmdb.org/t/p/w500/ekstpH614fwDX8DUln1a2Opz0N8.jpg,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,R,114.0,"Crime, Drama","Robert De Niro, Jodie Foster, Cybill Shepherd, Harvey Keitel, Peter Boyle",Martin Scorsese,1976.0,8.134,89.0
Green Book,8.2,https://image.tmdb.org/t/p/w500/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",PG-13,130.0,"Drama, History","Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco, Dimiter D. Marinov",Peter Farrelly,2018.0,8.232,
Batman Begins,8.2,,,,,,,,,,
For a Few Dollars More,8.2,https://image.tmdb.org/t/p/w500/ooqASvA7qxlTVKL3KwOzBwy57Dh.jpg,"Two bounty hunters both pursue the brutal and sadistic bandit, El Indio, who has a large bounty on his head.",R,132.0,Western,"Clint Eastwood, Lee Van Cleef, Gian Maria Volonté, Luigi Pistilli, Klaus Kinski",Sergio Leone,1965.0,8.017,
The Truman Show,8.2,https://image.tmdb.org/t/p/w500/vuza0WqY239yBXOadKlGwJsZJFE.jpg,"Every second of every day, from the moment he was born, for the last thirty years, Truman Burbank has been the unwitting star of the longest running, most popular documentary-soap opera in history. The picture-perfect town of Seahaven that he calls home is actually a gigantic soundstage. Truman's friends and family - everyone he meets, in fact - are actors. He lives every moment under the unblinking gaze of thousands of hidden TV cameras.",PG,103.0,"Comedy, Drama","Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone, Holland Taylor",Peter Weir,1998.0,8.147,94.0
Judgment at Nuremberg,8.3,https://image.tmdb.org/t/p/w500/b6vYatvui1EXeFYfpDX4rcbueuP.jpg,"In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.",NR,191.0,"Drama, History","Spencer Tracy, Richard Widmark, Maximilian Schell, Burt Lancaster, Marlene Dietrich",Stanley Kramer,1961.0,8.042,
Some Like It Hot,8.2,https://image.tmdb.org/t/p/w500/hVIKyTK13AvOGv7ICmJjK44DTzp.jpg,"Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.",NR,122.0,"Comedy, Romance, Crime","Tony Curtis, Jack Lemmon, Marilyn Monroe, George Raft, Pat O’Brien",Billy Wilder,1959.0,8.096,95.0
Shutter Island,8.2,https://image.tmdb.org/t/p/w500/nrmXQ0zcZUL8jFLrakWc90IR8z9.jpg,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",R,138.0,"Drama, Thriller, Mystery","Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams",Martin Scorsese,2010.0,8.2,
The Kid,8.2,https://image.tmdb.org/t/p/w500/drgMcyTsySQBnUPGaBThCHGdlWT.jpg,A tramp cares for a boy after he's abandoned as a newborn by his mother. Later the mother has a change of heart and aches to be reunited with her son.,,68.0,"Comedy, Drama","Charlie Chaplin, Jackie Coogan, Carl Miller, Edna Purviance, Albert Austin",Charlie Chaplin,1921.0,8.157,100.0
The Father,8.2,https://image.tmdb.org/t/p/w500/xxHNaCMycynHMKdEZHHQCzaPbZl.jpg,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",PG-13,97.0,Drama,"Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams, Imogen Poots",Florian Zeller,2020.0,8.113,
All About Eve,8.2,https://image.tmdb.org/t/p/w500/qU5QzNDrsusmuqKW6FsSvHYoIEQ.jpg,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",PG,139.0,Drama,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill",Joseph L. Mankiewicz,1950.0,8.08,99.0
Jurassic Park,8.2,https://image.tmdb.org/t/p/w500/fjTU1Bgh3KJu4aatZil3sofR2zC.jpg,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",PG-13,127.0,"Adventure, Science Fiction","Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Bob Peck",Steven Spielberg,1993.0,7.953,
There Will Be Blood,8.2,https://image.tmdb.org/t/p/w500/nuZDiX8okojcwkStdaMjA9LUQAT.jpg,"Ruthless silver miner, turned oil prospector, Daniel Plainview, moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him their valuable properties for a pittance. However, local preacher Eli Sunday suspects Plainview's motives and intentions, starting a slow-burning feud that threatens both their lives.",R,158.0,Drama,"Daniel Day-Lewis, Paul Dano, Kevin J. O'Connor, Ciarán Hinds, Dillon Freasier",Paul Thomas Anderson,2007.0,8.1,
Casino,8.2,https://image.tmdb.org/t/p/w500/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",R,179.0,"Crime, Drama","Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles",Martin Scorsese,1995.0,7.996,94.0
The Sixth Sense,8.2,https://image.tmdb.org/t/p/w500/vOyfUXNFSnaTk7Vk5AjpsKTUWsu.jpg,"Following an unexpected tragedy, child psychologist Malcolm Crowe meets a nine year old boy named Cole Sear, who is hiding a dark secret.",PG-13,107.0,"Mystery, Thriller, Drama","Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams, Trevor Morgan",M. Night Shyamalan,1999.0,7.952,
Ran,8.2,https://image.tmdb.org/t/p/w500/iYQcDhuHrdPOHLUUxXaFChFrc97.jpg,"With Ran, legendary director Akira Kurosawa reimagines Shakespeare's King Lear as a singular historical epic set in sixteenth-century Japan. Majestic in scope, the film is Kurosawa's late-life masterpiece, a profound examination of the folly of war and the crumbling of one family under the weight of betrayal, greed, and the insatiable thirst for power.",R,160.0,"Action, Drama, History","Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryū, Mieko Harada",Akira Kurosawa,1985.0,8.057,96.0
Top Gun: Maverick,8.2,https://image.tmdb.org/t/p/w500/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",PG-13,131.0,"Action, Drama","Tom Cruise, Miles Teller, Monica Barbaro, Lewis Pullman, Jay Ellis",Joseph Kosinski,2022.0,8.178,96.0
No Country for Old Men,8.2,https://image.tmdb.org/t/p/w500/bj1v6YKF8yHqA489VFfnQvOJpnc.jpg,"Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.",R,122.0,"Crime, Drama, Thriller","Javier Bardem, Tommy Lee Jones, Josh Brolin, Woody Harrelson, Kelly Macdonald","Joel Coen, Ethan Coen",2007.0,7.944,
The Thing,8.2,https://image.tmdb.org/t/p/w500/tzGY49kseSE9QAKk47uuDGwnSCu.jpg,"In the winter of 1982, a twelve-man research team at a remote Antarctic research station discovers an alien buried in the snow for over 100,000 years. Soon unfrozen, the form-changing creature wreaks havoc, creates terror... and becomes one of them.",R,109.0,"Horror, Mystery, Science Fiction","Kurt Russell, Keith David, Wilford Brimley, T.K. Carter, David Clennon",John Carpenter,1982.0,8.068,
Pan's Labyrinth,8.2,,,,,,,,,,95.0
Unforgiven,8.2,https://image.tmdb.org/t/p/w500/54roTwbX9fltg85zjsmrooXAs12.jpg,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",R,130.0,Western,"Clint Eastwood, Gene Hackman, Morgan Freeman, Jaimz Woolvett, Richard Harris",Clint Eastwood,1992.0,7.91,96.0
A Beautiful Mind,8.2,,,,,,,,,,
Kill Bill: Vol. 1,8.2,https://image.tmdb.org/t/p/w500/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",R,111.0,"Action, Crime","Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah, David Carradine",Quentin Tarantino,2003.0,7.97,
The Treasure of the Sierra Madre,8.2,https://image.tmdb.org/t/p/w500/pWcst7zVbi8Z8W6GFrdNE7HHRxL.jpg,"Two jobless Americans convince a prospector to travel to the mountains of Mexico with them in search of gold. But the hostile wilderness, local bandits, and greed all get in the way of their journey.",NR,126.0,"Adventure, Drama, Western","Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane",John Huston,1948.0,7.95,100.0
Prisoners,8.2,https://image.tmdb.org/t/p/w500/uhviyknTT5cEQXbn6vWIqfM4vGm.jpg,"Keller Dover is facing every parent’s worst nightmare. His six-year-old daughter, Anna, is missing, together with her young friend, Joy, and as minutes turn to hours, panic sets in. The only lead is a dilapidated RV that had earlier been parked on their street.",R,153.0,"Drama, Thriller, Crime","Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard",Denis Villeneuve,2013.0,8.098,
Yojimbo,8.2,https://image.tmdb.org/t/p/w500/tN7kYPjRhDolpui9sc9Eq9n5b2O.jpg,"A nameless ronin, or samurai with no master, enters a small village in feudal Japan where two rival businessmen are struggling for control of the local gambling trade. Taking the name Sanjuro Kuwabatake, the ronin convinces both silk merchant Tazaemon and sake merchant Tokuemon to hire him as a personal bodyguard, then artfully sets in motion a full-scale gang war between the two ambitious and unscrupulous men.",NR,110.0,"Drama, Thriller","Toshirō Mifune, Tatsuya Nakadai, Yōko Tsukasa, Isuzu Yamada, Daisuke Katō",Akira Kurosawa,1961.0,8.098,96.0
Finding Nemo,8.2,,,,,,,,,,99.0
The Great Escape,8.2,https://image.tmdb.org/t/p/w500/gBH4H8UMFxl139HaLz6lRuvsel8.jpg,"The Nazis, exasperated at the number of escapes from their prison camps by a relatively small number of Allied prisoners, relocate them to a high-security 'escape-proof' camp to sit out the remainder of the war. Undaunted, the prisoners plan one of the most ambitious escape attempts of World War II. Based on a true story.",NR,173.0,"Adventure, Drama, War","Steve McQueen, James Garner, Richard Attenborough, James Donald, Charles Bronson",John Sturges,1963.0,7.946,
Howl's Moving Castle,8.2,https://image.tmdb.org/t/p/w500/23hUJh7JdO23SpgUB5oiFDQk2wX.jpg,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",PG,119.0,"Fantasy, Animation, Adventure","Chieko Baisho, Takuya Kimura, Akihiro Miwa, Tatsuya Gashûin, Ryunosuke Kamiki",Hayao Miyazaki,2004.0,8.4,
Monty Python and the Holy Grail,8.2,,,,,,,,,,91.0
The Elephant Man,8.2,https://image.tmdb.org/t/p/w500/u0wpPYjuSt8DIe1Y3Vapnh8jcKE.jpg,"A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous façade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London.",PG,124.0,"Drama, History","Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud, Wendy Hiller",David Lynch,1980.0,8.048,
Dial M for Murder,8.2,https://image.tmdb.org/t/p/w500/bTdZk3q2DWpBRnLiaaItKFWOVhI.jpg,"In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice.",PG-13,111.0,"Drama, Thriller, Crime","Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke, Theodor Loos",Fritz Lang,1931.0,8.1,100.0
Gone with the Wind,8.2,https://image.tmdb.org/t/p/w500/lNz2Ow0wGCAvzckW7EOjE03KcYv.jpg,The spoiled daughter of a Georgia plantation owner conducts a tumultuous romance with a cynical profiteer during the American Civil War and Reconstruction Era.,G,233.0,"Drama, War, Romance","Vivien Leigh, Clark Gable, Olivia de Havilland, Leslie Howard, Hattie McDaniel",Victor Fleming,1939.0,7.9,
Klaus,8.2,https://image.tmdb.org/t/p/w500/q125RHUDgR4gjwh1QkfYuJLYkL.jpg,"When Jesper distinguishes himself as the Postal Academy's worst student, he is sent to Smeerensburg, a small village located on an icy island above the Arctic Circle, where grumpy inhabitants barely exchange words, let alone letters. Jesper is about to give up and abandon his duty as a postman when he meets local teacher Alva and Klaus, a mysterious carpenter who lives alone in a cabin full of handmade toys.",PG,96.0,"Animation, Family, Adventure, Comedy, Fantasy","Jason Schwartzman, J.K. Simmons, Rashida Jones, Joan Cusack, Norm Macdonald",Sergio Pablos,2019.0,8.239,
Rashomon,8.2,https://image.tmdb.org/t/p/w500/vL7Xw04nFMHwnvXRFCmYYAzMUvY.jpg,"Brimming with action while incisively examining the nature of truth, ""Rashomon"" is perhaps the finest film ever to investigate the philosophy of justice. Through an ingenious use of camera and flashbacks, Kurosawa reveals the complexities of human nature as four people recount different versions of the story of a man's murder and the rape of his wife.",NR,88.0,"Crime, Drama, Mystery","Toshirō Mifune, Machiko Kyō, Takashi Shimura, Masayuki Mori, Minoru Chiaki",Akira Kurosawa,1950.0,8.072,98.0
Chinatown,8.1,https://image.tmdb.org/t/p/w500/kZRSP3FmOcq0xnBulqpUQngJUXY.jpg,"Private eye Jake Gittes lives off of the murky moral climate of sunbaked, pre-World War II Southern California. Hired by a beautiful socialite to investigate her husband's extra-marital affair, Gittes is swept into a maelstrom of double dealings and deadly deceits, uncovering a web of personal and political scandals that come crashing together.",R,130.0,"Crime, Drama, Mystery, Thriller","Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez, John Hillerman",Roman Polanski,1974.0,7.913,98.0
The Secret in Their Eyes,8.2,https://image.tmdb.org/t/p/w500/dkeAwfZzwL3WvToydE3CXiY80E0.jpg,"Hoping to put to rest years of unease concerning a past case, retired criminal investigator Benjamín begins writing a novel based on the unsolved mystery of a newlywed’s rape and murder. With the help of a former colleague, judge Irene, he attempts to make sense of the past.",R,130.0,"Mystery, Thriller, Drama","Ricardo Darín, Soledad Villamil, Pablo Rago, Javier Godino, Guillermo Francella",Juan José Campanella,2009.0,7.988,
"Lock, Stock and Two Smoking Barrels",8.1,https://image.tmdb.org/t/p/w500/6pJB2t3MbQUy9m5pFIBHXLqnqNd.jpg,A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,R,105.0,"Comedy, Crime","Vinnie Jones, Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham",Guy Ritchie,1998.0,8.115,
V for Vendetta,8.1,https://image.tmdb.org/t/p/w500/1avD1JeaRiJX5M4ahPdZPypGoGN.jpg,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",R,132.0,"Action, Thriller, Science Fiction","Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry, John Hurt",James McTeigue,2006.0,7.898,
Inside Out,8.1,https://image.tmdb.org/t/p/w500/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",PG,95.0,"Animation, Family, Adventure, Drama, Comedy","Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black",Pete Docter,2015.0,7.91,98.0
"Three Billboards Outside Ebbing, Missouri",8.1,https://image.tmdb.org/t/p/w500/uGMM9ZObmPUFrGqcbFMVyv8L1lU.jpg,"After seven months have passed without a culprit in her daughter's murder case, Mildred Hayes makes a bold move, painting three signs leading into her town with a controversial message directed at Bill Willoughby, the town's revered chief of police. When his second-in-command Officer Jason Dixon, an immature mother's boy with a penchant for violence, gets involved, the battle between Mildred and Ebbing's law enforcement is only exacerbated.",R,115.0,"Crime, Drama","Frances McDormand, Woody Harrelson, Sam Rockwell, Lucas Hedges, Abbie Cornish",Martin McDonagh,2017.0,8.068,
The Bridge on the River Kwai,8.1,,,,,,,,,,96.0
Trainspotting,8.1,https://image.tmdb.org/t/p/w500/1jUC02qsqS2NxBMFarbIhcQtazV.jpg,"Heroin addict Mark Renton stumbles through bad ideas and sobriety attempts with his unreliable friends -- Sick Boy, Begbie, Spud and Tommy. He also has an underage girlfriend, Diane, along for the ride. After cleaning up and moving from Edinburgh to London, Mark finds he can't escape the life he left behind when Begbie shows up at his front door on the lam, and a scheming Sick Boy follows.",R,94.0,"Drama, Crime","Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd, Robert Carlyle",Danny Boyle,1996.0,7.963,
Catch Me If You Can,8.1,https://image.tmdb.org/t/p/w500/sdYgEkKCDPWNU6KnoL4qd8xZ4w7.jpg,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",PG-13,141.0,"Drama, Crime","Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye",Steven Spielberg,2002.0,7.976,96.0
Raging Bull,8.1,https://image.tmdb.org/t/p/w500/1WV7WlTS8LI1L5NkCgjWT9GSW3O.jpg,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",R,129.0,Drama,"Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent, Nicholas Colasanto",Martin Scorsese,1980.0,7.925,92.0
The Wild Robot,8.2,https://image.tmdb.org/t/p/w500/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",PG,102.0,"Animation, Science Fiction, Family","Lupita Nyong'o, Pedro Pascal, Kit Connor, Bill Nighy, Stephanie Hsu",Chris Sanders,2024.0,8.3,96.0
Fargo,8.1,,,,,,,,,,95.0
Warrior,8.1,,,,,,,,,,
Harry Potter and the Deathly Hallows: Part 2,8.1,https://image.tmdb.org/t/p/w500/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",PG-13,130.0,"Fantasy, Adventure","Daniel Radcliffe, Emma Watson, Rupert Grint, Ralph Fiennes, Alan Rickman",David Yates,2011.0,8.087,96.0
Gran Torino,8.1,https://image.tmdb.org/t/p/w500/zUybYvxWdAJy5hhYovsXtHSWI1l.jpg,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",R,116.0,Drama,"Clint Eastwood, Christopher Carley, Bee Vang, Ahney Her, Brian Haley",Clint Eastwood,2008.0,7.99,
Million Dollar Baby,8.1,https://image.tmdb.org/t/p/w500/jcfEqKdWF1zeyvECPqp3mkWLct2.jpg,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",PG-13,132.0,Drama,"Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel, Mike Colter",Clint Eastwood,2004.0,7.955,
My Neighbor Totoro,8.1,https://image.tmdb.org/t/p/w500/rtGDOeG9LzoerkDGZF9dnVeLppL.jpg,"Two sisters move to the country with their father in order to be closer to their hospitalized mother, and discover the surrounding trees are inhabited by Totoros, magical spirits of the forest. When the youngest runs away from home, the older sister seeks help from the spirits to find her.",G,86.0,"Fantasy, Animation, Family","Noriko Hidaka, Chika Sakamoto, Hitoshi Takagi, Shigesato Itoi, Sumi Shimamoto",Hayao Miyazaki,1988.0,8.071,
Mad Max: Fury Road,8.1,,,,,,,,,,97.0
Ben-Hur,8.1,https://image.tmdb.org/t/p/w500/m4WQ1dBIrEIHZNCoAjdpxwSKWyH.jpg,"In 25 AD, Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.",G,222.0,"History, Drama, Adventure, Action","Charlton Heston, Stephen Boyd, Hugh Griffith, Jack Hawkins, Haya Harareet",William Wyler,1959.0,7.888,
Spider-Man: No Way Home,8.2,https://image.tmdb.org/t/p/w500/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",PG-13,148.0,"Action, Adventure, Science Fiction","Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon, Jon Favreau",Jon Watts,2021.0,7.945,93.0
Barry Lyndon,8.1,https://image.tmdb.org/t/p/w500/dOJtBSyI30wWc08UmyEKLsu4Rfk.jpg,"An Irish rogue uses his cunning and wit to work his way up the social classes of 18th century England, transforming himself from the humble Redmond Barry into the noble Barry Lyndon.",PG,185.0,"Drama, Romance, War, History","Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger, Steven Berkoff",Stanley Kubrick,1975.0,8.007,
Dead Poets Society,8.1,https://image.tmdb.org/t/p/w500/erzbMlcNHOdx24AXOcn2ZKA7R1q.jpg,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",PG,128.0,Drama,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles, Gale Hansen",Peter Weir,1989.0,8.301,
Children of Heaven,8.2,https://image.tmdb.org/t/p/w500/jWqh1CJWAEcxckMRrf6ARhIEh0R.jpg,"Zohre's shoes are gone; her older brother Ali lost them. They are poor, there are no shoes for Zohre until they come up with an idea: they will share one pair of shoes. School awaits.",,88.0,"Drama, Family","Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi, Reza Naji, Fereshte Sarabandi",Majid Majidi,1997.0,7.909,
