Title,Original Title,Overview,Release Date,Genres,Runtime,Rating,Vote Count,Tagline,Poster Link,Backdrop Link,Budget,Revenue,Language,Production Companies,Cast,Director
The Pianist,The Pianist,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",2002-09-17,"Drama, War",150,8.378,9445,Music was his passion. Survival was his masterpiece.,https://image.tmdb.org/t/p/w500/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,https://image.tmdb.org/t/p/w500/dVr11o9or7AS8AMPfwjSpEU83iU.jpg,35000000,120098945,en,"Canal+, Bac Films, Heritage Films, Studio Babelsberg, Agencja Produkcji Filmowej, R.P. Productions, StudioCanal, Canal+, TVP, Runteam","Adrien Brody, Thomas Kretschmann, Frank Finlay, Maureen Lipman, Emilia Fox",Roman Polanski
Gabriel's Inferno: Part III,Gabriel's Inferno: Part III,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,2020-11-19,"Romance, Drama",102,8.376,1058,,https://image.tmdb.org/t/p/w500/fYtHxTxlhzD4QWfEbrC1rypysSD.jpg,https://image.tmdb.org/t/p/w500/fQq1FWp1rC89xDrRMuyFJdFUdMd.jpg,0,0,en,PassionFlix,"Melanie Zanetti, Giulio Berruti, Rhett Wellington Ramirez, James Andrew Fraser, Margaux Brooke",Tosca Musk
Se7en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",1995-09-22,"Crime, Mystery, Thriller",127,8.374,21583,Seven deadly sins. Seven ways to die.,https://image.tmdb.org/t/p/w500/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,https://image.tmdb.org/t/p/w500/p1PLSI5Nw2krGxD7X4ulul1tDAk.jpg,33000000,327311859,en,"New Line Cinema, Juno Pix, Arnold Kopelson Productions","Morgan Freeman, Brad Pitt, Gwyneth Paltrow, John Cassini, Peter Crombie",David Fincher
Whiplash,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",2014-10-10,"Drama, Music",107,8.4,15522,The road to greatness can take you to the edge.,https://image.tmdb.org/t/p/w500/7fn624j5lj3xTme2SgiLCeuedmO.jpg,https://image.tmdb.org/t/p/w500/fRGxZuo7jJUWQsVg9PREb98Aclp.jpg,3300000,50307484,en,"Bold Films, Blumhouse Productions, Right of Way Films","Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist, Austin Stowell",Damien Chazelle
Radical,Radical,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius.",2023-10-19,Drama,126,8.372,448,Think for yourself.,https://image.tmdb.org/t/p/w500/eGMkkbG85JUyXQEsbZKSnBrymts.jpg,https://image.tmdb.org/t/p/w500/gutU32BiBxJvJdzLv5RWC9hQhNh.jpg,10000000,21761164,es,"3Pas Studios, Epic, The Lift, ViX","Eugenio Derbez, Daniel Haddad, Jennifer Trejo, Mia Fernanda Solis, Danilo Guardiola Escobar",Christopher Zalla
Inception,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",2010-07-15,"Action, Science Fiction, Adventure",148,8.369,37292,Your mind is the scene of the crime.,https://image.tmdb.org/t/p/w500/ljsZTbVsrQSqZgWeep2B1QiDKuh.jpg,https://image.tmdb.org/t/p/w500/8ZTVqvKDQ8emSGUEMjsS4yHAwrp.jpg,160000000,839030630,en,"Legendary Pictures, Syncopy, Warner Bros. Pictures","Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe, Tom Hardy, Elliot Page",Christopher Nolan
Rear Window,Rear Window,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,1954-08-01,"Thriller, Mystery",112,8.351,6645,It only takes one witness to spoil the perfect crime.,https://image.tmdb.org/t/p/w500/ILVF0eJxHMddjxeQhswFtpMtqx.jpg,https://image.tmdb.org/t/p/w500/zZvtZZXRnZ4Tdcs0QEWaZZcIWy8.jpg,1000000,37042336,en,"Paramount Pictures, Patron Inc.","James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, Raymond Burr",Alfred Hitchcock
The Legend of Hei,罗小黑战记,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",2019-08-27,"Animation, Fantasy, Action",102,8.3,382,One Small Spirit Will Determine the Fate of the World.,https://image.tmdb.org/t/p/w500/aLv87NgRJUPkQ6sVLP72IisDdt4.jpg,https://image.tmdb.org/t/p/w500/aVFx1VtlOxR3v0ADEatalXOvwbu.jpg,0,48045728,zh,"MTJJ, Beijing Guangying Gongchang Wenhua Chuanbo, Dream Castle, Heyi Capital, Beijing Hanmu Chunhua Animation Technology, Beijing Jiyin Yinghua","Shan Xin, Liu Mingyue, Hao Xianghai, Ding Dang, Yuntu Cao",MTJJ
Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",2023-05-31,"Animation, Action, Adventure, Science Fiction",140,8.344,7455,It's how you wear the mask that matters.,https://image.tmdb.org/t/p/w500/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,https://image.tmdb.org/t/p/w500/kVd3a9YeLGkoeR50jGEXM6EqseS.jpg,100000000,690897910,en,"Columbia Pictures, Sony Pictures Animation, Lord Miller, Pascal Pictures, Arad Productions, Marvel Entertainment","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez, Jake Johnson","Kemp Powers, Justin K. Thompson, Joaquim Dos Santos"
The Silence of the Lambs,The Silence of the Lambs,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",1991-02-14,"Crime, Drama, Thriller",119,8.345,16706,To enter the mind of a killer she must challenge the mind of a madman.,https://image.tmdb.org/t/p/w500/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,https://image.tmdb.org/t/p/w500/aYcnDyLMnpKce1FOYUpZrXtgUye.jpg,19000000,272742922,en,"Orion Pictures, Strong Heart","Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Anthony Heald",Jonathan Demme
American History X,American History X,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",1998-07-01,Drama,119,8.339,11805,Some Legacies Must End.,https://image.tmdb.org/t/p/w500/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,https://image.tmdb.org/t/p/w500/9LSsSPbP715XT9B7acIZzantPyX.jpg,20000000,23900000,en,"New Line Cinema, Savoy Pictures, The Turman-Morrissey Company","Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien, Ethan Suplee",Tony Kaye
Lucy Shimmers and the Prince of Peace,Lucy Shimmers and the Prince of Peace,Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.,2020-10-19,"Drama, Family",87,8.337,303,,https://image.tmdb.org/t/p/w500/yfnJ5qIYx7q33fY4jqv9Pu95RSg.jpg,https://image.tmdb.org/t/p/w500/7KR1nKGaYqPuFBnqP7XBIX0DZlR.jpg,0,0,en,"Rob Diamond Films, Future Movie Productions","Scarlett Diamond, Adam Hightower, Vincent Vargas, Tara Barrett, Madison Bills",Rob Diamond
High and Low,天国と地獄,"In the midst of an attempt to take over his company, a powerhouse executive is hit with a huge ransom demand when his chauffeur's son is kidnapped by mistake.",1963-03-01,"Drama, Crime, Mystery, Thriller",142,8.336,958,"Stark, intense drama almost beyond belief!",https://image.tmdb.org/t/p/w500/tgNjemQPG96uIezpiUiXFcer5ga.jpg,https://image.tmdb.org/t/p/w500/adkWjKeklbfVIw9y2KKPSCwZl9N.jpg,250000,0,ja,"TOHO, Kurosawa Production","Toshirō Mifune, Tatsuya Nakadai, Kyōko Kagawa, Tatsuya Mihashi, Isao Kimura",Akira Kurosawa
The Wild Robot,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",2024-09-12,"Animation, Science Fiction, Family",102,8.333,4654,Discover your true nature.,https://image.tmdb.org/t/p/w500/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,https://image.tmdb.org/t/p/w500/mQZJoIhTEkNhCYAqcHrQqhENLdu.jpg,78000000,331982078,en,DreamWorks Animation,"Lupita Nyong'o, Pedro Pascal, Kit Connor, Bill Nighy, Stephanie Hsu",Chris Sanders
Dou kyu sei – Classmates,同級生,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",2016-02-20,"Romance, Animation",61,8.332,401,"Sincerely, Slowly, Falling in Love.",https://image.tmdb.org/t/p/w500/cIfRCA5wEvj9tApca4UDUagQEiM.jpg,https://image.tmdb.org/t/p/w500/tLmyP7akYmxLwyfTEt2qyj2sOR3.jpg,0,0,ja,"A-1 Pictures, Aniplex","Kenji Nojima, Hiroshi Kamiya, Hideo Ishikawa, Yurino",Shoko Nakamura
Princess Mononoke,もののけ姫,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",1997-07-12,"Adventure, Fantasy, Animation",134,8.331,8256,The fate of the world rests on the courage of one warrior.,https://image.tmdb.org/t/p/w500/cMYCDADoLKLbB83g4WnJegaZimC.jpg,https://image.tmdb.org/t/p/w500/gl0jzn4BupSbL2qMVeqrjKkF9Js.jpg,23500000,176506186,ja,"Studio Ghibli, Nibariki, dentsu Music and Entertainment, TNDG, Tokuma Shoten, Nippon Television Network Corporation, dentsu","Yoji Matsuda, Yuriko Ishida, Yuko Tanaka, Kaoru Kobayashi, Masahiko Nishimura",Hayao Miyazaki
Back to the Future,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",1985-07-03,"Adventure, Comedy, Science Fiction",116,8.318,20406,He was never in time for his classes. He wasn't in time for his dinner. Then one day...he wasn't in his time at all.,https://image.tmdb.org/t/p/w500/vN5B5WgYscRGcQpVhHl6p9DDTP0.jpg,https://image.tmdb.org/t/p/w500/5bzPWQ2dFUl2aZKkp7ILJVVkRed.jpg,19000000,381109762,en,"Universal Pictures, Amblin Entertainment","Michael J. Fox, Christopher Lloyd, Crispin Glover, Lea Thompson, Claudia Wells",Robert Zemeckis
The Quintessential Quintuplets Movie,映画 五等分の花嫁,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",2022-05-20,"Animation, Comedy, Romance",136,8.3,407,,https://image.tmdb.org/t/p/w500/sg7klpt1xwK1IJirBI9EHaqQwJ5.jpg,https://image.tmdb.org/t/p/w500/gcgKSyE2iqwfKWMDZ8TJPxeIu0P.jpg,0,17288993,ja,"Pony Canyon, Nichion, Bibury Animation Studios, BS11, GYAO, Kodansha, Good Smile Film, Bushiroad, MAGNET, TBS","Yoshitsugu Matsuoka, Kana Hanazawa, Ayana Taketatsu, Miku Ito, Ayane Sakura",Masato Jimbo
Ikiru,生きる,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",1952-10-09,Drama,143,8.316,1188,A big story of a little man which will grip your soul...,https://image.tmdb.org/t/p/w500/dgNTS4EQDDVfkzJI5msKuHu2Ei3.jpg,https://image.tmdb.org/t/p/w500/stiGp1XzkLSYdUUEWTyQOZRkr49.jpg,0,55240,ja,TOHO,"Takashi Shimura, Haruo Tanaka, Nobuo Kaneko, Bokuzen Hidari, Miki Odagiri",Akira Kurosawa
A Brighter Summer Day,牯嶺街少年殺人事件,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",1991-07-27,"Crime, Drama, Romance",237,8.3,334,,https://image.tmdb.org/t/p/w500/3l8fOAwiN3N5n3hHnZ51eog7Zu2.jpg,https://image.tmdb.org/t/p/w500/djvXCedFiwbfp4HSoX3VU3WUVVm.jpg,0,0,zh,"Yang & His Gang Filmmakers, Brighter Summer Productions","Chang Chen, Lisa Yang, Chang Kuo-Chu, Elaine Jin Yan-Ling, Chuan Wang",Edward Yang
Dead Poets Society,Dead Poets Society,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",1989-06-02,Drama,128,8.302,11578,He was their inspiration. He made their lives extraordinary.,https://image.tmdb.org/t/p/w500/hmGAF5NDoYB6S39UONevjHCESOI.jpg,https://image.tmdb.org/t/p/w500/hpzQHv8cA7j2Dn2CphOFYmllXzj.jpg,16400000,235900000,en,"A Steven Haft Production, Witt/Thomas Productions","Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles, Gale Hansen",Peter Weir
Léon: The Professional,Léon,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",1994-09-14,"Crime, Drama, Action",111,8.302,15123,"If you want the job done right, hire a professional.",https://image.tmdb.org/t/p/w500/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,https://image.tmdb.org/t/p/w500/bguFhzIGpQdGQ6uizm07oMKbgHi.jpg,16000000,45284974,fr,"Gaumont, Les Films du Dauphin","Jean Reno, Natalie Portman, Gary Oldman, Danny Aiello, Peter Appel",Luc Besson
Perfect Blue,PERFECT BLUE,"Encouraged by her managers, rising pop star Mima takes on a recurring role on a popular TV show, when suddenly her handlers and collaborators begin turning up murdered.",1998-02-28,"Animation, Thriller",82,8.3,2773,The color of illusion is Perfect Blue.,https://image.tmdb.org/t/p/w500/6WTiOCfDPP8XV4jqfloiVWf7KHq.jpg,https://image.tmdb.org/t/p/w500/1YRtgjLb5xxUb2rsNRnr54Oc0B2.jpg,830000,112536,ja,"Madhouse, Rex Entertainment, Kotobuki Seihan Printing, Asahi Broadcasting Corporation, Fangs Co.","Junko Iwao, Rica Matsumoto, Shiho Niiyama, Masaaki Okura, Shinpachi Tsuji",Satoshi Kon
The Great Dictator,The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,1940-10-15,"Comedy, War",125,8.3,3433,Once again - the whole world laughs!,https://image.tmdb.org/t/p/w500/nhMXB8GTdswYMCL9nepDZymJCOr.jpg,https://image.tmdb.org/t/p/w500/c8Pi8F1FzpNebtgXcSjC9nWCdSW.jpg,2000000,11000000,en,Charles Chaplin Productions,"Charlie Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner, Henry Daniell",Charlie Chaplin
"Josee, the Tiger and the Fish",ジョゼと虎と魚たち,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",2020-12-25,"Animation, Drama, Romance",98,8.3,493,Together they can fly.,https://image.tmdb.org/t/p/w500/lNpZWdXC4HtXQ8nVo21gg7T9D6N.jpg,https://image.tmdb.org/t/p/w500/i1GT0e6Crg6UezT3ibXnMS3pBAd.jpg,0,0,ja,"BONES, KADOKAWA, Shochiku, jeki, TOY'S FACTORY, KDDI, Movie Walker, TBS Radio, Sonilude","Taishi Nakagawa, Kaya Kiyohara, Yume Miyamoto, Kazuyuki Okitsu, Lynn",Kotaro Tamura
Sunset Boulevard,Sunset Boulevard,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,1950-08-10,Drama,110,8.297,2659,A Hollywood Story.,https://image.tmdb.org/t/p/w500/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg,https://image.tmdb.org/t/p/w500/p47ihFj4A7EpBjmPHdTj4ipyq1S.jpg,1752000,5000000,en,Paramount Pictures,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Fred Clark",Billy Wilder
Dedicated to my ex,Dedicada A Mi Ex,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",2019-11-01,"Drama, Comedy",94,8.292,505,,https://image.tmdb.org/t/p/w500/xc4bTXVwYNXi10jG9dwcaYt5IpU.jpg,https://image.tmdb.org/t/p/w500/1fOsyhVz5qyX2rl1qqX6KImVhTx.jpg,0,1315376,es,"Touché Films, Dynamo","Raúl Santana, Nataly Valencia, Carlos Alcántara, Biassini Segura, Mariana Treviño",Jorge Ulloa
Once Upon a Studio,Once Upon a Studio,"Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.",2023-09-24,"Animation, Family, Fantasy, Comedy",9,8.267,375,100 years of Disney magic comes together.,https://image.tmdb.org/t/p/w500/aiy3G1cYWV3LgKZHY6a3jL8bjYL.jpg,https://image.tmdb.org/t/p/w500/hUeSuUxNyQivx2wrRvGoyZiZDUu.jpg,0,0,en,"Walt Disney Animation Studios, Walt Disney Pictures","Chris Diamantopoulos, Kaitlyn Robrock, Tony Anselmo, Bill Farmer, Jim Cummings","Trent Correy, Dan Abraham"
Given,映画 ギヴン,"Haruki secretly had feelings for Akihiko for years, but Akihiko was still in a relationship with his roommate, the violinist Ugetsu Murata. Haruki, Akihiko, and Ugetsu's love clashes and starts to move forward.",2020-08-22,"Animation, Drama, Music, Romance",60,8.3,397,A story of a certain summer.,https://image.tmdb.org/t/p/w500/3trPz7muDOv4AHjDZiD3MLGls2Q.jpg,https://image.tmdb.org/t/p/w500/u1wHUA0R48FH4WV3sGqjwx3aNZm.jpg,0,0,ja,"Lerche, Aniplex, dentsu, Fuji Television Network, movic, Shinshokan","Takuya Eguchi, Masatomo Nakazawa, Shogo Yano, Yuma Uchida, Shintaro Asanuma",Hikaru Yamaguchi
Once Upon a Time in the West,C'era una volta il West,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",1968-12-21,"Drama, Western",166,8.282,4473,There were three men in her life. One to take her… one to love her —and one to kill her.,https://image.tmdb.org/t/p/w500/qbYgqOczabWNn2XKwgMtVrntD6P.jpg,https://image.tmdb.org/t/p/w500/26SUDI2iKhZTIKcU4ZzezTH1G15.jpg,5000000,5380118,it,"Paramount Pictures, Rafran Cinematografica, San Marco","Claudia Cardinale, Henry Fonda, Jason Robards, Charles Bronson, Gabriele Ferzetti",Sergio Leone
Hotarubi no Mori e,蛍火の杜へ,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",2011-09-17,"Romance, Animation, Fantasy",45,8.3,1137,,https://image.tmdb.org/t/p/w500/mDqzHV8UXWWNpZkoAbKmKX1ZxEE.jpg,https://image.tmdb.org/t/p/w500/hi9j4i0A5xeLdPp9ek7JF3ekbkJ.jpg,0,0,ja,Brain's Base,"Izumi Sawada, Hayato Taya, Ayane Sakura, Koki Uchiyama, Shinpachi Tsuji",Takahiro Omori
Modern Times,Modern Times,"A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..",1936-02-05,"Comedy, Drama, Romance",87,8.281,3766,"He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!",https://image.tmdb.org/t/p/w500/7uoiKOEjxBBW0AgDGQWrlfGQ90w.jpg,https://image.tmdb.org/t/p/w500/kSlO1pHpwQfPQdgVPr7dJiJNtJ8.jpg,1500000,1800000,en,Charles Chaplin Productions,"Charlie Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford, Chester Conklin",Charlie Chaplin
We All Loved Each Other So Much,C'eravamo tanto amati,"Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond.",1974-12-21,"Drama, Comedy",124,8.279,583,A many splendored thing.,https://image.tmdb.org/t/p/w500/zGGWYpiKNwjpKxelPxOMqJnUgDs.jpg,https://image.tmdb.org/t/p/w500/2Kkqmy3EpXqBDqv1vvsNXX3pwww.jpg,0,0,it,Deantir,"Nino Manfredi, Vittorio Gassman, Stefania Sandrelli, Stefano Satta Flores, Giovanna Ralli",Ettore Scola
Neon Genesis Evangelion: The End of Evangelion,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity. An alternate ending to the television series ""Neon Genesis Evangelion"", which aired from 1995 to 1996 and whose final two episodes were controversial for their atypically abstract direction.",1997-07-19,"Animation, Science Fiction, Action, Drama",87,8.3,1664,The fate of destruction is also the joy of rebirth.,https://image.tmdb.org/t/p/w500/j6G24dqI4WgUtChhWjfnI4lnmiK.jpg,https://image.tmdb.org/t/p/w500/xLMJCCSatxENpHO9rLW9yD8A12C.jpg,0,20563523,ja,"GAINAX, movic, Star Child Recording, TV Tokyo, Production I.G, KADOKAWA Shoten, Toei Company, SEGA","Megumi Ogata, Megumi Hayashibara, Kotono Mitsuishi, Yuko Miyamura, Fumihiko Tachiki","Kazuya Tsurumaki, Hideaki Anno"
It's a Wonderful Life,It's a Wonderful Life,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",1946-12-20,"Drama, Family, Fantasy",130,8.3,4465,It's a wonderful laugh! It's a wonderful love!,https://image.tmdb.org/t/p/w500/bSqt9rhDZx1Q7UZ86dBPKdNomp2.jpg,https://image.tmdb.org/t/p/w500/3q35nBLCIdEbxYfsr7D5ocYQXKz.jpg,3180000,9644124,en,Liberty Films,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers",Frank Capra
The Intouchables,Intouchables,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,2011-11-02,"Drama, Comedy",113,8.273,17524,Sometimes you have to reach into someone else's world to find out what's missing in your own.,https://image.tmdb.org/t/p/w500/1QU7HKgsQbGpzsJbJK4pAVQV9F5.jpg,https://image.tmdb.org/t/p/w500/oDTHNGAH1gZwNk45do1rOoU3oxN.jpg,13000000,426590315,fr,"Gaumont, Quad Productions, Chaocorp, Ten Films, TF1 Films Production","François Cluzet, Omar Sy, Dominique Henry, Anne Le Ny, Clotilde Mollet","Éric Toledano, Olivier Nakache"
Apocalypse Now,Apocalypse Now,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",1979-05-19,"Drama, War",147,8.273,8435,This is the end...,https://image.tmdb.org/t/p/w500/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg,https://image.tmdb.org/t/p/w500/9Qs9oyn4iE8QtQjGZ0Hp2WyYNXT.jpg,31500000,150000000,en,"United Artists, American Zoetrope","Martin Sheen, Marlon Brando, Albert Hall, Frederic Forrest, Laurence Fishburne",Francis Ford Coppola
City Lights,City Lights,A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,1931-02-06,"Comedy, Drama, Romance",87,8.3,2236,True Blind Love,https://image.tmdb.org/t/p/w500/ugmakEL5y294I5bXgiBqApuZpwc.jpg,https://image.tmdb.org/t/p/w500/Ma7mQsldFCaQpsZbm8zolgLfmV.jpg,1500000,4250000,en,Charles Chaplin Productions,"Charlie Chaplin, Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia",Charlie Chaplin
Miracle in Cell No. 7,7. Koğuştaki Mucize,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",2019-10-10,Drama,132,8.258,4446,,https://image.tmdb.org/t/p/w500/bOth4QmNyEkalwahfPCfiXjNh1r.jpg,https://image.tmdb.org/t/p/w500/inEy3A5OPgeYW4rjRiGycfEeQzA.jpg,10000000,28000000,tr,"Lanistar Media, Motion Content Group, CJ ENM Turkey","Aras Bulut İynemli, Nisa Sofiya Aksongur, İlker Aksum, Mesut Akusta, Yıldıray Şahinler",Mehmet Ada Öztekin
Violet Evergarden: The Movie,劇場版 ヴァイオレット・エヴァーガーデン,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",2020-09-18,"Animation, Fantasy, Romance, Drama",140,8.257,436,,https://image.tmdb.org/t/p/w500/A9R6bukzzRmOzxvDQsXdQpeNm8l.jpg,https://image.tmdb.org/t/p/w500/uxLPHh2NLEWoIInABsqREoQ845i.jpg,0,20339624,ja,"Kyoto Animation, ABC Animation, Pony Canyon, Bandai Namco Arts, Rakuonsha","Yui Ishikawa, Daisuke Namikawa, Takehito Koyasu, Hidenobu Kiuchi, Haruka Tomatsu",Taichi Ishidate
Paths of Glory,Paths of Glory,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,1957-10-25,"War, Drama, History",88,8.3,3000,It explodes in the no-man's land no picture ever dared cross before!,https://image.tmdb.org/t/p/w500/tJXwtzOSNUC8dxJfrdvkNtGrrgW.jpg,https://image.tmdb.org/t/p/w500/nbMY2UcNnaAr3jrrowzN0NaxQyr.jpg,935000,1200000,en,"Bryna Productions, United Artists, Harris-Kubrick Productions","Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready, Wayne Morris",Stanley Kubrick
